LAND,KONTINENT,EW,FLÄCHE,HAUPTSTADT,HÖCHSTER BERG,HÖHE,SPRACHE,STAATSFORM,WÄHRUNG
Lesotho,Afrika,1480000,30355,Maseru,Thabana Ntlenyana,3482,Englisch,Konstitutionel. Monarchie,Loti
Libanon,Asien,3500000,10400,Beirut,,3088,Arabisch,Republik,Libanes. Pfund
Liberia,Afrika,1900000,111369,Monrovia,Nimba,1384,Englisch,Militärdiktatur,Liberian. Dollar
Libyen,Afrika,3800000,1759540,Tripolis,Tibesti,2285,Arabisch,Volksrepublik,Libyscher Dinar
Liechtenstein,Europa,26680,160,Vaduz,-----,0,Deutsch,Konstitutionel. Monarchie,Schweizer Franken
Luxemburg,Europa,365900,2586,Luxemburg,Ösling,559,Französisch,Konstitutionel. Monarchie,Luxemburg. Franc
Madagaskar,Afrika,10000000,587041,Antananarivo,Maromokotro,2876,Französisch,Sozialistische Republik,Madagaskar-Franc
Malawi,Afrika,7100000,118494,Lilongwe,,3000,Englisch,Präsidiale Republik,Malawi-Kwacha
Malaysia,Asien,15500000,329749,Kuala Lumpur,Kinabalu,4101,Malaiisch,Konstitutionel. Monarchie,Malays. Ringgit
Malediven,Asien,181500,298,Male,-----,19,Divehi,Republik,Malediven-Rupie
Mali,Afrika,7900000,1240000,Bamako,,1000,Französisch,Republik,Mali-Franc
Malta,Europa,332000,316,La Valetta,-----,253,Maltesisch,Parlamentar. Republik,Malta-Pfund
Marokko,Afrika,21500000,458730,Rabat,Hoher Atlas,4165,Arabisch,Konstitutionel. Monarchie,Dirham
Mauretanien,Afrika,190000,1030700,Nouakachott,-----,915,Arabisch,Präsidiale Demokratie,Ouguiya
Mauritius,Afrika,1000000,2040,Port Louis,-----,826,Englisch,Parlamentar. Monarchie,Mauritius-Rupie
Mexico,Amerika,78800000,2022058,Mexico City,Citlaltepetl,5700,Spanisch,Bundesrepublik,Mexican. Peso
Mocambique,Afrika,13500000,799380,Maputo,Monte Binga,2436,Portugiesisch,Volksrepublik,Metical
Monaco,Europa,27100,2,Monte Carlo,,0,Französisch,Konstitutionel. Monarchie,Franz. Franc
Mongolei,Asien,1850000,1565000,Ulan Bator,Altai,4356,Mongolisch,Sozialistische Republik,Tugrug
Nauru,Ozeanien,8000,21,Yaren,-----,25,Englisch,Parlamentar. Republik,Austral. Dollar
Nepal,Asien,16500000,145391,Katmandu,Mount Everest,8848,Nepali,Konstitutionel. Monarchie,Nepal. Rupie
Neuseeland,Ozeanien,3300000,269063,Wellington,Mount Cook,3763,Englisch,Parlamentar. Monarchie,Neuseeland-Dollar
Nicaragua,Amerika,3220000,148000,Managua,-----,2100,Spanisch,Sozialistische Republik,Cordoba
Niederlande,Europa,14500000,41785,Amsterdam,Südlicher Limburg,322,Niederländisch,Konstitutionel. Monarchie,Holl. Gulden
Niger,Afrika,6480000,1267000,Niamey,Air,2310,Französisch,Präsidiale Republik,CFA-Franc
Nigeria,Afrika,92000000,923768,Lagos,Vogel Peak,2042,Englisch,Militärdiktatur,Naira
Norwegen,Europa,4100000,386975,Oslo,,0,Norwegisch,Konstitutionel. Monarchie,Norweg. Krone
Oman,Asien,1130000,212500,Maskat,Djebel-Al-Akhdar,3017,Arabisch,Absolutes Sultanat,Rial Omani
Österreich,Europa,7600000,83855,Wien,Großglockner,3797,Deutsch,Demokratische Republik,Österr. Schilling
Pakistan,Asien,94700000,796095,Islamabad,Godwin Austen(K2),8611,Urdu,Föderative Republik,Pakistan. Rupie
Panama,Amerika,2180000,77082,Panama,Chiriqui,3475,Spanisch,Präsidiale Republik,US-Dollar u. Balboa
Papua Neuguinea,Ozeanien,3330000,462840,Port Moresby,Mount Wilhelm,4508,Englisch,Parlamentar. Monarchie,Kina
Paraguay,Amerika,3800000,406752,Asuncion,-----,700,Spanisch,Präsidiale Republik,Guarani
Peru,Amerika,19700000,1285216,Lima,Huascaran,6768,Spanisch,Präsidiale Republik,Sol
Philippinen,Asien,54400000,300000,Manila,Mount Apo,2954,Englisch,Volksrepublik,Phillip. Peso
Polen,Europa,37100000,312683,Warschau,Meeraugspitze,2499,Polnisch,Sozialistische Republik,Zloty
Portugal,Europa,10100000,92389,Lissabon,Estrela,1991,Portugiesisch,Präsidiale Republik,Escudo
Quatarrh,Asien,287000,11000,Ad Dauha,-----,0,Arabisch,Absolutes Emirat,Quatarrh-Rupie
Ruanda,Afrika,6200000,26338,Kigali,Karisimbi,4507,Französisch,Präsidiale Republik,Ruanda-Franc
Rumänien,Europa,22550000,237500,Bukarest,Moldoveanu,2543,Rumänisch,Sozialistische Republik,Leu
Saint Christopher & Nevis,Amerika,87000,261,Basseterre,-----,1156,Englisch,Parlamentar. Monarchie,
Saint Lucia,Amerika,126800,616,Castries,-----,958,Englisch,Parlamentar. Monarchie,Ostkarib. Dollar
Saint Vincent,Amerika,127900,389,Kingstown,La Soufriere,1454,Englisch,Parlamentar. Monarchie,Ostkarib. Dollar
Salomon Inseln,Ozeanien,258200,29785,Honiara,-----,2331,Englisch,Parlamentar. Monarchie,Salomonen-Dollar
Sambia,Afrika,6700000,752614,Lusaka,,2608,Englisch,Präsidiale Republik,Kwacha
San Marino,Europa,22400,61,San Marino,,0,Italienisch,Republik,Ital. Lira
Sao Tome & Principe,Afrika,102000,964,Sao Tome,Sao Tome,2024,Portugiesisch,Präsidiale Demokratie,Dobra
Saudi Arabien,Asien,11240000,2100000,Ar Rijad,Asir Dschabal Sauda,2910,Arabisch,Autokratische Monarchie,Saudi Riyal
